Country,2012
Bulgaria,0.786
Romania,0.795
Croatia,0.816
Latvia,0.824
Portugal,0.829
Hungary,0.830
Lithuania,0.831
Poland,0.836
Slovakia,0.842
Malta,0.849
Cyprus,0.852
Greece,0.854
Estonia,0.859
Spain,0.873
Italy,0.874
Slovenia,0.877
France,0.886
Luxembourg,0.892
United Kingdom,0.898
Austria,0.899
Ireland,0.902
Belgium,0.905
Sweden,0.908
Finland,0.908
Netherlands,0.921
Denmark,0.924
Germany,0.928
